time,price
40182,31.345
40183,31.085
40184,30.850001
40185,30.795
40186,30.72
40189,30.85
40190,30.505001
40191,30.579999
40192,30.87
40193,30.8250005
40197,30.5799995
40198,30.5800005
40199,30.760001
40200,29.76
40203,29.435001
40204,29.3299995
40205,29.1850005
40206,28.9100005
40207,28.4799995
40210,28.645
40211,29.3599995
40212,29.465
40213,29.1849995
40214,29.0400005
40217,29.2050005
40218,29.47
40219,29.3550005
40220,29.305
40221,30.315
40225,30.2449995
40226,30.495
40227,30.775
40228,31.0199995
40231,31.220001
40232,30.9700005
40233,31.1000005
40234,30.9649995
40235,31.3149995
40238,31.759999
40239,32.180001
40240,32.43
40241,32.3599995
40242,32.994999
40245,33.055
40246,33.0999995
40247,33.4299995
40248,33.48
40249,33.5199995
40252,33.315
40253,33.405
40254,33.4099995
40255,33.3799995
40256,33.419999
40259,33.4900005
40260,33.945
40261,33.94
40262,34.325
40263,34.4800005
40266,34.3550005
40267,34.5400005
40268,34.4700005
40269,34.545
40273,34.704999
40274,34.6
40275,34.38
40276,34.045
40277,34.134999
40280,34.21
40281,34.024999
40282,34.175
40283,35.039999
40284,35.4050005
40287,35.250001
40288,35.835
40289,36.1549995
40290,36.1200005
40291,36.515
40294,36.745001
40295,36.4100005
40296,36.5549995
40297,37.0800005
40298,36.755001
40301,36.6349995
40302,35.8599995
40303,34.84
40304,33.9
40305,32.479999
40308,33.6849995
40309,33.8749995
40310,34.4850005
40311,34.805
40312,34.125
40315,34.105
40316,33.0350005
40317,32.3
40318,31.385
40319,30.83
40322,31.3200005
40323,30.87
40324,31.4999995
40325,32.4800005
40326,32.56
40330,31.785
40331,31.960001
40332,32.3700005
40333,30.975
40336,30.315
40337,30.0099995
40338,29.7499995
40339,30.2350005
40340,30.39
40343,31.2999995
40344,31.999999
40345,32.3100005
40346,32.635001
40347,32.58
40350,32.745001
40351,32.2149995
40352,32.025
40353,31.2449995
40354,30.804999
40357,30.605
40358,29.6199995
40359,28.795001
40360,28.390001
40361,28.0749995
40365,28.05
40366,28.18
40367,28.79
40368,28.7650005
40371,28.3550005
40372,28.6099995
40373,28.655
40374,28.51
40375,27.615001
40378,27.415001
40379,27.2750005
40380,27.63
40381,28.335001
40382,28.929999
40385,29.43
40386,29.3000005
40387,28.785
40388,28.5599995
40389,27.855
40392,28.585
40393,28.225001
40394,28.0749995
40395,28.2450005
40396,28.455
40399,29.3700005
40400,29.45
40401,28.5399995
40402,27.59
40403,27.37
40406,27.1349995
40407,29.0149995
40408,29.384999
40409,28.8950005
40410,28.4099995
40413,28.35
40414,27.4400005
40415,27.415001
40416,27.695001
40417,27.8250005
40420,27.7249995
40421,27.2699995
40422,27.87
40423,28.84
40424,29.67
40428,29.34
40429,28.9599995
40430,29.0899995
40431,28.9300005
40434,29.180001
40435,29.0950005
40436,29.279999
40437,29.690001
40438,30.4349995
40441,30.905
40442,31.0650005
40443,30.87
40444,30.525001
40445,31.53
40448,32.035001
40449,32.1500005
40450,32.340001
40451,33.0700005
40452,33.7100005
40455,33.0749995
40456,32.9950005
40457,32.8450005
40458,33.0649995
40459,33.505001
40462,33.7599995
40463,33.645
40464,34.130001
40465,34.255
40466,34.539999
40469,34.5749995
40470,34.075001
40471,34.4
40472,34.770001
40473,34.745
40476,34.9650005
40477,34.7149995
40478,34.534999
40479,35.025
40480,34.8099995
40483,34.845001
40484,35.0200005
40485,35.144999
40486,35.7449995
40487,36.1750005
40490,36.165
40491,35.829999
40492,35.3599995
40493,35.265
40494,36.13
40497,36.3699995
40498,35.424999
40499,35.1049995
40500,35.935001
40501,36.315
40504,36.2150005
40505,35.6450005
40506,35.98
40508,36.1549995
40511,35.8
40512,35.1250005
40513,35.8850005
40514,36.35
40515,36.9900005
40518,37.2149995
40519,37.585
40520,37.625001
40521,37.95
40522,38.2700005
40525,38.6200005
40526,38.85
40527,38.7449995
40528,39.1749995
40529,40.1500005
40532,40.3649995
40533,40.7400005
40534,40.86
40535,40.9899995
40539,41.404999
40540,41.72
40541,41.615
40542,41.6149995
40543,41.43
40546,41.72
40547,41.74
40548,41.33
40549,41.425
40550,41.57
40553,41.815001
40554,42.7300005
40555,43.164999
40556,42.9250005
40557,43.025
40561,43.8600005
40562,43.3249995
40563,42.12
40564,42.305
40567,42.475001
40568,42.73
40569,42.695
40570,42.6100005
40571,41.7399995
40574,41.52
40575,42.0600005
40576,41.4900005
40577,40.9600005
40578,42.05
40581,43.945
40582,44.410001
40583,43.72
40584,43.6100005
40585,44.395001
40588,44.8950015
40589,43.72
40590,43.2349995
40591,43.6500005
40592,43.8850005
40596,42.88
40597,41.5049995
40598,40.745001
40599,41.7799995
40602,42.255
40603,41.3300005
40604,41.0150005
40605,42.47
40606,45.0499985
40609,46.065
40610,45.9899995
40611,45.8499995
40612,45.1199985
40613,45.205001
40616,44.9649995
40617,43.5849995
40618,42.9600005
40619,42.7899995
40620,43.0349995
40623,43.7350005
40624,43.5500005
40625,43.3099995
40626,43.9550005
40627,44.0249995
40630,44.1000005
40631,44.249999
40632,44.940001
40633,44.8500025
40634,45.0099985
40637,44.950001
40638,45.044999
40639,45.400003
40640,45.0500015
40641,45.0399995
40644,44.8949995
40645,44.8400005
40646,45.8999985
40647,46.450001
40648,47.055
40651,46.7150005
40652,46.725
40653,48.0599995
40654,49.135001
40658,48.635
40659,48.9149985
40660,49.7449995
40661,50.0799995
40662,50.105
40665,50.3450015
40666,50.540001
40667,50.03
40668,49.2699995
40669,49.8599995
40672,49.865002
40673,50.3850015
40674,50.269999
40675,50.084999
40676,53.3250015
40679,52.254999
40680,51.435
40681,51.4300005
40682,51.5499995
40683,50.9249995
40686,49.454999
40687,48.965
40688,48.64
40689,49.054999
40690,49.499999
40694,49.7799995
40695,48.895
40696,48.1750015
40697,47.410001
40700,47.1550005
40701,47.6050005
40702,47.630001
40703,48.2749995
40704,48.319999
40707,47.8950005
40708,48.660001
40709,47.9150015
40710,47.1550005
40711,47.555001
40714,47.7350015
40715,49.2600005
40716,49.2600005
40717,48.78
40718,48.904999
40721,48.6
40722,49.754999
40723,50.6900005
40724,50.8250015
40725,51.6150005
40729,51.7950005
40730,51.6649995
40731,52.4050015
40732,50.6400015
40735,49.2699995
40736,48.329998
40737,48.195
40738,47.7999995
40739,47.3450005
40742,46.085001
40743,46.3500005
40744,46.935001
40745,47.030002
40746,46.9199995
40749,46.2950015
40750,45.3349995
40751,43.45
40752,42.275001
40753,41.85
40756,41.705
40757,39.645
40758,39.14
40759,37.869999
40760,37.0950005
40763,34.0050005
40764,33.7399995
40765,32.585001
40766,33.315
40767,35.5799995
40770,37.1099995
40771,36.8000005
40772,36.335
40773,33.4099995
40774,31.410001
